LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,fire_size_log,t_param,s_param
36.41833333,-114.72666667,0.1,Debris and open burning,Human,1994,149,1,0.09531017980432487,0.576389979374179,0.5595777149749549
35.9667,-114.5341,1.0,Debris and open burning,Human,1996,120,1,0.6931471805599453,0.3516726608191193,0.35330777948694836
35.9667,-114.5841,0.2,Debris and open burning,Human,1996,129,1,0.18232155679395465,0.43797596655004445,0.43409371484021236
35.9,-113.8758,0.1,Natural,Natural,1992,155,0,0.09531017980432487,0.06182554677808202,0.07301224408794653
35.96,-113.8641,600.0,Natural,Natural,1993,215,0,6.398594934535208,0.07251706099180107,0.09019646973329962
35.84,-113.8575,0.1,Natural,Natural,1993,217,0,0.09531017980432487,0.061827953302832986,0.07301228694017353
35.9869,-113.8727,10250.0,Natural,Natural,1994,182,0,9.235130540783402,0.07297939263846925,0.09084249241290014
35.9039,-113.7547,0.7,Natural,Natural,1994,211,0,0.5306282510621704,0.0618312963369241,0.0730123330290545
35.96,-113.7941,600.0,Natural,Natural,1995,179,0,6.398594934535208,0.061828323776990705,0.07301229277873449
35.975,-113.9008,953.0,Natural,Natural,1995,180,0,6.860663671448287,0.07433503471620527,0.09276986269956813
35.8583,-113.9008,2.0,Natural,Natural,1995,182,0,1.0986122886681098,0.06182616269683403,0.07301225622927279
35.9353,-113.87,4.0,Natural,Natural,1995,235,0,1.6094379124341003,0.06182298941184085,0.07301218346737333
35.968,-113.853,15.0,Natural,Natural,1995,235,0,2.772588722239781,0.061815907725711744,0.0730119187598091
35.9189,-113.853,0.3,Natural,Natural,1996,192,0,0.262364264467491,0.0618257745929594,0.07301224868131885
35.8025,-113.8855,0.3,Natural,Natural,1996,192,0,0.262364264467491,0.06182773876690638,0.07301228303782076
35.8186,-113.8519,0.3,Natural,Natural,1996,196,0,0.262364264467491,0.06182837223475466,0.07301229350405992
35.9353,-113.87,15.0,Natural,Natural,1996,227,0,2.772588722239781,0.06182298941184085,0.07301218346737333
35.835,-113.8519,0.1,Natural,Natural,1996,227,0,0.09531017980432487,0.061828182797404804,0.0730122904750227
35.8,-113.818,1.0,Natural,Natural,1996,228,0,0.6931471805599453,0.06182931283792126,0.07301230631846232
36.0169,-113.8194,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.06719448934896316,0.08027824371847431
35.9842,-113.8194,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.06180859253143346,0.07301149018758747
35.8514,-113.853,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.061827913718274514,0.07301228632228071
35.835,-113.8855,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.06182722312065286,0.07301227464092043
35.8678,-113.853,1.0,Natural,Natural,1996,245,0,0.6931471805599453,0.061827611628175363,0.07301228100935571
35.8283,-113.8575,0.3,Natural,Natural,1997,201,0,0.262364264467491,0.06182811354170306,0.07301228958461403
35.8267,-113.8058,0.3,Natural,Natural,1999,255,0,0.262364264467491,0.06182949119237595,0.0730123087698183
36.45,-113.8175,0.1,Natural,Natural,1992,125,0,0.09531017980432487,0.007178591768878638,0.00689152634728783
36.5666,-113.8508,0.1,Natural,Natural,1992,176,0,0.09531017980432487,0.0019519162197469105,0.004302627444654274
36.4333,-113.8841,0.1,Natural,Natural,1992,176,0,0.09531017980432487,0.0020535178763196474,0.004401514670795753
36.5,-113.8675,4.0,Natural,Natural,1992,176,0,1.6094379124341003,0.0019932442716632313,0.004343726897202064
36.5666,-113.7341,0.1,Natural,Natural,1992,176,0,0.09531017980432487,0.007179542590816117,0.0068916379039748515
36.55,-113.7341,0.1,Natural,Natural,1992,176,0,0.09531017980432487,0.007182205028811109,0.006891949760052266
36.5833,-114.0341,0.1,Natural,Natural,1992,176,0,0.09531017980432487,0.7942585539925767,0.7826353785469096
36.5333,-113.8341,12.7,Natural,Natural,1992,195,0,2.617395832834079,0.002053162754735278,0.004401181384675442
36.1667,-113.7841,0.2,Natural,Natural,1992,213,0,0.18232155679395465,0.05172622475989083,0.06123240271433394
36.5166,-113.7508,0.1,Natural,Natural,1992,215,0,0.09531017980432487,0.00718404959654502,0.0068921654282133645
36.6,-113.7341,0.1,Natural,Natural,1992,215,0,0.09531017980432487,0.0071745906822793405,0.006891055685656076
36.5666,-113.8341,0.1,Natural,Natural,1992,215,0,0.09531017980432487,0.0020043025474278248,0.004354516559501906
36.5333,-113.9008,0.1,Natural,Natural,1992,218,0,0.09531017980432487,0.001810956737440892,0.00415258044214184
36.4666,-113.8341,0.1,Natural,Natural,1992,219,0,0.09531017980432487,0.00716933603576322,0.0068904339855284154
36.4333,-113.9675,0.1,Natural,Natural,1992,219,0,0.09531017980432487,0.9916180768785394,0.9905183124652901
36.4,-113.8675,0.1,Natural,Natural,1992,219,0,0.09531017980432487,0.007171677802363744,0.0068907116105572305
36.3333,-113.8508,0.1,Natural,Natural,1992,219,0,0.09531017980432487,0.00720199521976997,0.0068942574412567065
36.4166,-113.8341,0.3,Natural,Natural,1992,225,0,0.262364264467491,0.0071808805334038685,0.006891794709858873
36.6,-114.0008,0.1,Natural,Natural,1992,225,0,0.09531017980432487,0.7942462640270458,0.7826265820825937
36.5166,-113.9508,7406.6,Natural,Natural,1993,171,0,8.91026177918785,0.9916035459196993,0.990512954384663
36.4333,-113.8508,729.0,Natural,Natural,1993,215,0,6.593044534142437,0.007170354517831969,0.006890554848072847
36.5166,-113.8175,10.0,Natural,Natural,1993,216,0,2.3978952727983707,0.00716557027357694,0.006889985397711171
36.55,-113.8008,1125.0,Natural,Natural,1993,217,0,7.026426808699636,0.007165186514489082,0.006889939522509317
36.45,-113.8341,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.007172859557049023,0.0068908513609050115
36.45,-113.8508,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.007166621746184555,0.0068901109352638755
36.4333,-113.8341,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.007176701416413881,0.006891304235725471
36.4333,-113.9008,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001976547140395639,0.004327270930281383
36.4,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.00716379398763861,0.006889772791571826
36.4833,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001956343066485089,0.004307089354879304
36.4666,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001986244899408036,0.004336852867166612
36.4666,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001986244899408036,0.004336852867166612
36.4666,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001986244899408036,0.004336852867166612
36.4666,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001986244899408036,0.004336852867166612
36.4666,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001986244899408036,0.004336852867166612
36.4666,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001986244899408036,0.004336852867166612
36.4666,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001986244899408036,0.004336852867166612
36.4666,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001986244899408036,0.004336852867166612
36.4666,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001986244899408036,0.004336852867166612
36.4666,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001986244899408036,0.004336852867166612
36.4666,-113.8841,0.1,Natural,Natural,1993,219,0,0.09531017980432487,0.001986244899408036,0.004336852867166612
36.2,-113.8508,12.0,Natural,Natural,1993,221,0,2.5649493574615367,0.037677007092925104,0.035985772602123774
36.2333,-113.7674,61.7,Natural,Natural,1993,239,0,4.138361447638875,0.05172969073951854,0.061238475641006346
36.5333,-113.9675,2152.5,Natural,Natural,1993,239,0,7.674849704494165,0.9915808802346031,0.9904996588174818
36.4666,-113.9175,8.8,Natural,Natural,1993,240,0,2.2823823856765264,0.0018308767120229668,0.0041747627969312305
36.6,-113.8508,13.2,Natural,Natural,1993,241,0,2.653241964607215,0.0019096504628141366,0.004259285356659745
36.5,-113.8508,0.1,Natural,Natural,1994,201,0,0.09531017980432487,0.0020530836782440137,0.0044011071590586
36.4833,-113.9008,0.1,Natural,Natural,1994,201,0,0.09531017980432487,0.0018839668087661913,0.004232274960801457
36.5833,-113.7175,0.1,Natural,Natural,1994,201,0,0.09531017980432487,0.007180631416067729,0.006891765527865824
36.175,-113.7077,0.1,Natural,Natural,1994,211,0,0.09531017980432487,0.05231868963744636,0.06220432832738627
36.55,-113.9341,1183.0,Natural,Natural,1994,219,0,7.076653815443951,0.9916090867965425,0.9905156347705775
36.3,-113.9675,3.0,Other causes,Human,1994,222,1,1.3862943611198906,0.0018749174969891179,0.004222633801666346
36.4,-113.7675,0.1,Natural,Natural,1994,223,0,0.09531017980432487,0.012817803126102343,0.012232378479634156
36.4166,-113.7841,1.5,Natural,Natural,1994,223,0,0.9162907318741551,0.0071972712895995985,0.00689370662212981
36.5666,-113.8008,225.1,Natural,Natural,1994,224,0,5.420977379283924,0.002098762405204926,0.0044433093899664145
36.5666,-113.8008,0.1,Natural,Natural,1994,224,0,0.09531017980432487,0.002098762405204926,0.0044433093899664145
36.4833,-113.7841,397.2,Natural,Natural,1994,225,0,5.986954391630096,0.007181696941276338,0.006891890301476007
36.4833,-113.9008,155.0,Natural,Natural,1994,230,0,5.049856007249537,0.0018839668087661913,0.004232274960801457
36.5833,-113.8008,3759.0,Natural,Natural,1995,153,0,8.23217423638394,0.002075227506896225,0.004421732862876796
36.5166,-113.7008,70.0,Natural,Natural,1995,153,0,4.2626798770413155,0.0071953216639038696,0.0068934795103967285
36.4333,-114.0008,0.1,Natural,Natural,1995,177,0,0.09531017980432487,0.9915686996415183,0.9904945477162775
36.55,-114.0175,0.1,Natural,Natural,1995,177,0,0.09531017980432487,0.7943354246912785,0.7827048489033737
36.55,-114.0175,0.1,Natural,Natural,1995,177,0,0.09531017980432487,0.7943354246912785,0.7827048489033737
36.5166,-113.9841,0.1,Natural,Natural,1995,177,0,0.09531017980432487,0.9915668909911232,0.9904927990159185
36.5166,-114.0008,0.1,Natural,Natural,1995,177,0,0.09531017980432487,0.9915471782193125,0.9904831301852761
36.5333,-114.0008,0.1,Natural,Natural,1995,177,0,0.09531017980432487,0.7943683608091093,0.7827311375703223
36.5666,-114.0008,0.1,Natural,Natural,1995,177,0,0.09531017980432487,0.794312041074213,0.7826836821671184
36.5666,-114.0175,0.1,Natural,Natural,1995,177,0,0.09531017980432487,0.7943042463039225,0.7826768203133094
36.2,-113.8508,5034.0,Natural,Natural,1995,179,0,8.524168805152662,0.037677007092925104,0.035985772602123774
36.4833,-113.8508,20.0,Natural,Natural,1995,179,0,3.044522437723423,0.002082856503501018,0.004428765484245892
36.5166,-113.7675,5.0,Natural,Natural,1995,179,0,1.791759469228055,0.007179836353614299,0.006891672349329287
36.4666,-113.8508,0.1,Natural,Natural,1995,179,0,0.09531017980432487,0.00716320943580709,0.006889702674178317
36.3333,-113.7341,190.0,Natural,Natural,1995,179,0,5.25227342804663,0.03754156524631036,0.03578877142519419
36.25,-113.7341,2872.0,Natural,Natural,1995,179,0,7.96311205897929,0.05191532006292335,0.061555031942685495
36.5,-113.9008,453.0,Natural,Natural,1995,179,0,6.118097198041348,0.0018577414657201575,0.004204153035053638
36.4666,-113.8675,0.1,Natural,Natural,1995,179,0,0.09531017980432487,0.0020531785808838676,0.004401196239488085
36.4166,-113.7841,0.1,Natural,Natural,1995,179,0,0.09531017980432487,0.0071972712895995985,0.00689370662212981
36.4333,-113.7841,0.1,Natural,Natural,1995,179,0,0.09531017980432487,0.007192934111112127,0.006893201431428511
36.4666,-113.7675,0.1,Natural,Natural,1995,179,0,0.09531017980432487,0.007189762935026734,0.006892831994058339
36.4,-113.8508,2461.0,Natural,Natural,1995,180,0,7.808729306744399,0.007178867980202602,0.006891558765066235
36.55,-113.7841,0.1,Natural,Natural,1995,180,0,0.09531017980432487,0.007169816878877681,0.006890491070014651
36.4333,-113.8841,0.1,Natural,Natural,1995,180,0,0.09531017980432487,0.0020535178763196474,0.004401514670795753
36.5833,-113.7841,0.1,Natural,Natural,1995,180,0,0.09531017980432487,0.007164880720465701,0.006889902944978306
36.5333,-113.7675,0.1,Natural,Natural,1995,180,0,0.09531017980432487,0.0071769144491456325,0.006891329288581558
36.45,-113.8008,151.0,Natural,Natural,1995,181,0,5.0238805208462765,0.007183939170501719,0.006892152524990124
36.5833,-113.9008,8682.0,Natural,Natural,1995,181,0,9.069122370060645,0.9986383137712368,0.9980715256311389
36.5333,-113.7508,0.1,Natural,Natural,1995,181,0,0.09531017980432487,0.007181088219239156,0.006891819033663335
36.6,-113.9841,666.0,Natural,Natural,1995,211,0,6.502790045915623,0.7942577908014753,0.7826346637160745
36.5333,-113.8508,50.0,Natural,Natural,1995,234,0,3.9318256327243257,0.0019993274823588915,0.004349672987070165
36.4833,-113.9841,0.1,Natural,Natural,1995,248,0,0.09531017980432487,0.9915760195424672,0.9904952167178855
36.4833,-113.9841,0.1,Natural,Natural,1995,248,0,0.09531017980432487,0.9915760195424672,0.9904952167178855
36.55,-113.9008,220.0,Natural,Natural,1995,249,0,5.3981627015177525,0.9986511256153066,0.9980810694731606
36.3833,-113.8341,758.0,Natural,Natural,1995,249,0,6.63200177739563,0.007190414488861447,0.00689290791661228
36.55,-113.9341,3.0,Natural,Natural,1996,191,0,1.3862943611198906,0.9916090867965425,0.9905156347705775
36.3833,-113.8341,6.0,Natural,Natural,1996,192,0,1.9459101490553132,0.007190414488861447,0.00689290791661228
36.5833,-113.8675,3.0,Natural,Natural,1996,192,0,1.3862943611198906,0.0018748383117660927,0.004222549148115261
36.3,-113.8008,45.5,Natural,Natural,1996,192,0,3.8394523125933104,0.03733621897821668,0.035485202015939035
36.3833,-113.8508,50.3,Natural,Natural,1996,192,0,3.937690752176724,0.0071837826898282515,0.006892134238678895
36.4,-113.8508,28.0,Natural,Natural,1996,192,0,3.367295829986474,0.007178867980202602,0.006891558765066235
36.4,-113.7508,34.1,Natural,Natural,1996,192,0,3.55820113047182,0.012878738445039216,0.012300492129582619
36.5666,-114.0341,0.1,Natural,Natural,1996,196,0,0.09531017980432487,0.7942954304249025,0.7826691534902741
36.55,-113.7675,30.0,Natural,Natural,1996,212,0,3.4339872044851463,0.007174161153940479,0.006891005030182521
36.3833,-113.8341,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.007190414488861447,0.00689290791661228
36.2667,-113.7008,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.052042892711243696,0.06176439253823384
36.6,-113.7841,0.1,Natural,Natural,1996,229,0,0.09531017980432487,0.0020950972786428017,0.004439972196267654
36.5833,-113.7508,20.0,Natural,Natural,1996,239,0,3.044522437723423,0.007173163113147526,0.006890887222552368
36.35,-113.7008,0.1,Natural,Natural,1996,249,0,0.09531017980432487,0.037613382835166145,0.0358935058576409
36.1283,-113.7227,0.5,Natural,Natural,1997,133,0,0.4054651081081644,0.05820161191175624,0.06759360029946081
36.3483,-113.7563,39.0,Natural,Natural,1997,212,0,3.6888794541139363,0.03737147313080663,0.03553780829626046
36.4419,-113.7525,0.2,Natural,Natural,1997,212,0,0.18232155679395465,0.007199356342407416,0.006893949621676722
36.47,-113.7608,402.0,Natural,Natural,1997,213,0,5.998936561946683,0.007190785080543252,0.006892951094858979
36.5986,-113.7088,8.0,Natural,Natural,1997,242,0,2.1972245773362196,0.007180206651655513,0.006891715755376646
36.5933,-113.7525,0.1,Natural,Natural,1998,201,0,0.09531017980432487,0.007171327592549799,0.006890670152006048
36.4083,-113.7375,11.5,Natural,Natural,1998,212,0,2.5257286443082556,0.012896195090896411,0.012319900108556471
36.4916,-113.7808,1.0,Natural,Natural,1998,219,0,0.6931471805599453,0.007180967596604888,0.006891804907080786
36.5783,-113.7525,15.0,Natural,Natural,1998,223,0,2.772588722239781,0.007173495122634925,0.006890926429323429
36.5928,-113.7352,16816.0,Natural,Natural,1999,148,0,9.73014555852275,0.007175369804258414,0.006891147502294745
36.535,-113.9608,0.1,Natural,Natural,1999,210,0,0.09531017980432487,0.991587407591842,0.9905028449287568
36.46,-113.7597,0.5,Natural,Natural,1999,234,0,0.4054651081081644,0.007193277618370324,0.006893241440462371
36.36,-113.8358,3.0,Natural,Natural,1999,235,0,1.3862943611198906,0.007197599435439437,0.006893744855955838
36.3233,-113.8141,16.5,Natural,Natural,1999,254,0,2.8622008809294686,0.012942748456996346,0.012371423315718262
36.3716,-113.7625,0.1,Natural,Natural,1999,254,0,0.09531017980432487,0.012943265128318827,0.012371993299731019
36.4183,-113.7808,5.0,Natural,Natural,1999,254,0,1.791759469228055,0.007197766029713436,0.006893764267817753
36.3194,-113.7563,0.1,Natural,Natural,1999,257,0,0.09531017980432487,0.03749718350929062,0.0357237069174735
35.8167,-114.5675,0.1,Smoking,Human,1992,160,1,0.09531017980432487,0.3516220865983411,0.35329198832537556
35.9167,-114.0841,15.0,Natural,Natural,1994,221,0,2.772588722239781,0.1832923590122839,0.20656967950912317
35.8333,-114.3175,5.0,Natural,Natural,1995,154,0,1.791759469228055,0.2129541893422635,0.2354645318472966
36.0167,-113.9841,6445.0,Natural,Natural,1995,181,0,8.771215062375383,0.0949340789834241,0.12166563514153114
35.8,-114.3175,3800.0,Natural,Natural,1995,189,0,8.24301946898925,0.21295065712902655,0.23546419075515596
35.8833,-114.2175,500.0,Natural,Natural,1995,189,0,6.2166061010848646,0.21290731595053936,0.23545902801877405
35.9167,-114.0508,0.5,Natural,Natural,1995,211,0,0.4054651081081644,0.18326969305882096,0.20656604506096624
36.0,-113.9675,1400.0,Natural,Natural,1995,211,0,7.244941546337007,0.0763390208153409,0.0963355600927521
35.8667,-114.0008,7.0,Natural,Natural,1995,224,0,2.0794415416798357,0.1832650486277849,0.2065652862714721
35.8833,-113.9675,300.0,Natural,Natural,1995,248,0,5.707110264748875,0.07526737957587384,0.09443334024763408
35.8333,-114.1175,0.1,Natural,Natural,1996,184,0,0.09531017980432487,0.18332714693050622,0.20657558442682142
35.9,-114.0841,0.1,Natural,Natural,1996,225,0,0.09531017980432487,0.1832970377932404,0.206570437420493
35.95,-113.9341,120.0,Natural,Natural,1996,229,0,4.795790545596741,0.07525834531845432,0.09441664308194198
36.1166,-114.8508,0.1,Arson/incendiarism,Human,1992,130,1,0.09531017980432487,0.48970759058519675,0.4874423069148983
36.4833,-114.8008,0.5,Smoking,Human,1992,221,1,0.4054651081081644,0.5763557889312562,0.5595689292915967
36.4,-114.8842,0.1,Smoking,Human,1992,255,1,0.09531017980432487,0.4926496241361411,0.49237754540650325
35.8333,-114.8341,0.1,Debris and open burning,Human,1993,125,1,0.09531017980432487,0.4548486107638308,0.45250985023063395
36.3333,-114.0675,10.0,Natural,Natural,1993,135,0,2.3978952727983707,0.9914169911601086,0.990420665288557
36.5666,-114.9508,5.0,Natural,Natural,1993,139,0,1.791759469228055,0.49258915222467226,0.49233719357134026
36.55,-114.9508,0.5,Natural,Natural,1993,139,0,0.4054651081081644,0.4925865492248591,0.49233538408535604
36.4333,-114.8342,0.3,Smoking,Human,1993,162,1,0.262364264467491,0.5007557517473928,0.5016774740186547
36.4833,-114.8008,1.5,Fireworks,Human,1993,174,1,0.9162907318741551,0.5763557889312562,0.5595689292915967
36.0166,-114.9175,15.0,Fireworks,Human,1993,177,1,2.772588722239781,0.4655119403991006,0.46235481503157494
36.0166,-114.9175,10.0,Fireworks,Human,1993,177,1,2.3978952727983707,0.4655119403991006,0.46235481503157494
36.2,-114.9842,1.5,Fireworks,Human,1993,185,1,0.9162907318741551,0.49233877235125656,0.4922000507195117
36.2,-114.9342,0.1,Debris and open burning,Human,1993,210,1,0.09531017980432487,0.49242114629337935,0.49224258131859033
36.2666,-114.3508,125.0,Natural,Natural,1993,215,0,4.836281906951478,0.857660355390257,0.8423938512870391
36.6,-114.9342,50.0,Natural,Natural,1993,218,0,3.9318256327243257,0.4926080887452006,0.492349226593061
36.3833,-114.2341,250.0,Natural,Natural,1993,219,0,5.5254529391317835,0.8104643213335128,0.804485663374369
36.2,-114.9342,0.1,Equipment and vehicle use,Human,1993,299,1,0.09531017980432487,0.49242114629337935,0.49224258131859033
36.4333,-114.8508,0.1,Railroad operations and maintenance,Human,1994,77,1,0.09531017980432487,0.5006755348568928,0.5016168970115907
36.45,-114.9675,0.1,Natural,Natural,1994,118,0,0.09531017980432487,0.4925492732238861,0.492312588032625
36.6,-114.1008,0.1,Equipment and vehicle use,Human,1994,125,1,0.09531017980432487,0.7897943281522909,0.7748921165535172
36.4833,-114.8008,0.1,Debris and open burning,Human,1994,125,1,0.09531017980432487,0.5763557889312562,0.5595689292915967
36.4333,-114.6008,249.0,Fireworks,Human,1994,128,1,5.521460917862246,0.7113938947410948,0.6871022403642162
36.2167,-114.2175,2070.0,Natural,Natural,1994,151,0,7.635786861395585,0.9776103141559435,0.9728342599109158
36.2167,-114.2175,5700.0,Natural,Natural,1994,179,0,8.648396877031582,0.9776103141559435,0.9728342599109158
36.2167,-114.1841,5.0,Natural,Natural,1994,181,0,1.791759469228055,0.9835723229780458,0.9766472366359713
36.5666,-114.0675,3.0,Natural,Natural,1994,204,0,1.3862943611198906,0.794273427824493,0.782649066550321
36.45,-114.6342,30.0,Natural,Natural,1994,223,0,3.4339872044851463,0.711392265688746,0.6871014168766431
36.2166,-114.9508,0.1,Debris and open burning,Human,1995,30,1,0.09531017980432487,0.49241714014105586,0.49224048479192567
36.1,-114.9842,0.1,Recreation and ceremony,Human,1995,56,1,0.09531017980432487,0.4919535285724005,0.4919394573305937
36.0,-114.9175,0.1,Recreation and ceremony,Human,1995,56,1,0.09531017980432487,0.46540858472429514,0.46227657438114955
36.25,-114.1508,234.0,Natural,Natural,1995,174,0,5.459585514144159,0.9839692994768754,0.9768327490721825
36.55,-114.1508,15.0,Natural,Natural,1995,178,0,2.772588722239781,0.7942397273122696,0.7826176914219618
36.35,-114.8508,1020.0,Natural,Natural,1995,189,0,6.928537818164665,0.5006400781416291,0.5015909338718543
36.2166,-114.9842,0.5,Arson/incendiarism,Human,1995,228,1,0.4054651081081644,0.4923675020391345,0.49221494081938777
36.3833,-114.2175,3.0,Natural,Natural,1995,233,0,1.3862943611198906,0.8104195289549473,0.8044561234134135
36.2166,-114.9008,0.1,Misuse of fire by a minor,Human,1996,39,1,0.09531017980432487,0.49254438231486947,0.4923102834708823
36.1,-114.9675,0.2,Debris and open burning,Human,1996,170,1,0.18232155679395465,0.49191338199136325,0.49190284195716233
36.2333,-114.2175,350.0,Natural,Natural,1996,229,0,5.860786223465865,0.9776495158647738,0.9729191249197168
36.55,-114.1175,300.0,Natural,Natural,1996,230,0,5.707110264748875,0.7942778095042149,0.7826529923216405
36.2833,-114.9342,0.1,Natural,Natural,1996,242,0,0.09531017980432487,0.49251978153150044,0.4922954916264142
36.4,-114.6008,0.2,Fireworks,Human,1996,243,1,0.18232155679395465,0.7112358289950741,0.6870127813192196
36.3105,-114.9658,0.1,Equipment and vehicle use,Human,1997,196,1,0.09531017980432487,0.4924900923407521,0.49227907182481623
36.3111,-114.9658,0.1,Debris and open burning,Human,1997,202,1,0.09531017980432487,0.49249049306547893,0.4922792892679454
36.3361,-114.9575,0.1,Debris and open burning,Human,1997,224,1,0.09531017980432487,0.49251633335955836,0.4922935370386971
36.5283,-114.1391,0.1,Recreation and ceremony,Human,1998,156,1,0.09531017980432487,0.7943273772952669,0.782697013845074
36.5866,-114.4658,0.1,Fireworks,Human,1998,185,1,0.09531017980432487,0.7641306902376225,0.7406621256650223
36.475,-114.8811,0.1,Arson/incendiarism,Human,1999,143,1,0.09531017980432487,0.4926583036131612,0.4923837238165953
36.3327,-114.9458,0.1,Debris and open burning,Human,1999,163,1,0.09531017980432487,0.49253061372549023,0.49230168153835396
36.5361,-114.4625,0.1,Debris and open burning,Human,1999,171,1,0.09531017980432487,0.7639134864818394,0.7404717985910704
36.1811,-114.9117,0.1,Recreation and ceremony,Human,1999,174,1,0.09531017980432487,0.4924417121164476,0.49225327962077553
36.2117,-114.1836,0.1,Natural,Natural,1999,206,0,0.09531017980432487,0.977659000558887,0.9729217607079161
36.13153,-113.86666,98.0,Natural,Natural,1995,178,0,4.59511985013459,0.04446627274020513,0.0449282388277044
36.11485,-113.86667,193.0,Natural,Natural,1995,178,0,5.267858159063328,0.04466284164677356,0.04519838275590695
36.01461,-113.96088,574.0,Natural,Natural,1995,212,0,6.354370040797351,0.07644298778751893,0.09650783204811034
36.10527,-114.84964,0.1,Equipment and vehicle use,Human,1992,78,1,0.09531017980432487,0.489475876681758,0.48679305097052994
